City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
69,Saint-Leu,RE,-21.15,55.2833,25.0,88,75,10.29,broken clouds
70,Dvinskoy,RU,62.1535,45.1175,-5.15,97,87,0.5,overcast clouds
71,Caravelas,BR,-17.7125,-39.2481,24.38,88,6,2.49,clear sky
72,Moratuwa,LK,6.773,79.8816,28.0,78,20,0.51,few clouds
73,Jining,CN,35.405,116.5814,9.66,84,100,6.43,overcast clouds
74,Georgetown,MY,5.4112,100.3354,28.33,89,20,1.54,few clouds
75,Cherskiy,RU,68.75,161.3,-13.47,72,100,3.23,overcast clouds
76,Clyde River,CA,70.4692,-68.5914,-25.0,70,1,1.92,clear sky
77,Hilo,US,19.7297,-155.09,27.0,57,40,4.12,scattered clouds
78,Alofi,NU,-19.0595,-169.9187,30.0,66,91,4.63,overcast clouds
79,Yellowknife,CA,62.456,-114.3525,-14.0,72,90,4.12,light snow
80,Fortuna,US,40.5982,-124.1573,13.33,87,1,5.66,clear sky
81,Blagoyevo,RU,63.3667,47.9167,-4.07,99,100,0.74,overcast clouds
82,Kaitangata,NZ,-46.2817,169.8464,13.33,59,100,2.68,moderate rain
83,Punta Arenas,CL,-53.15,-70.9167,7.0,93,90,3.09,light rain
84,Tautira,PF,-17.7333,-149.15,28.89,78,75,2.06,light rain
85,Avera,US,33.194,-82.5271,7.0,53,1,1.66,clear sky
86,Ternate,ID,0.8,127.4,29.07,75,22,4.53,few clouds
87,Saskylakh,RU,71.9167,114.0833,-31.14,97,64,1.34,broken clouds
88,Alexandria,EG,31.2156,29.9553,13.0,71,0,1.03,clear sky
89,East London,ZA,-33.0153,27.9116,16.66,80,23,5.8,few clouds
90,Portland,US,45.5234,-122.6762,17.22,39,1,2.57,clear sky
91,Mengyin,CN,35.7069,117.9264,8.64,83,100,6.08,overcast clouds
92,Lorengau,PG,-2.0226,147.2712,27.08,81,100,1.66,moderate rain
93,Lagoa,PT,39.05,-27.9833,15.99,82,100,13.22,overcast clouds
94,Vanimo,PG,-2.6741,141.3028,25.75,89,100,2.89,overcast clouds
95,Tasiilaq,GL,65.6145,-37.6368,-1.0,86,75,6.17,broken clouds
96,Dikson,RU,73.5069,80.5464,-27.34,84,88,2.11,overcast clouds
97,Qaanaaq,GL,77.484,-69.3632,-27.28,82,100,4.74,overcast clouds
98,Shaowu,CN,27.3409,117.4831,23.2,81,48,1.54,scattered clouds
99,Sol-Iletsk,RU,51.1631,54.9918,1.1,88,100,5.93,light snow
100,Wasserburg,DE,48.4411,10.2693,3.89,86,8,0.89,clear sky
101,Veracruz,MX,19.3333,-96.6667,22.22,78,90,7.72,overcast clouds
102,Rio Grande,BR,-32.035,-52.0986,20.16,69,87,4.94,overcast clouds
103,Ribeira Grande,PT,38.5167,-28.7,16.47,84,100,11.79,overcast clouds
104,Rudbar,AF,30.15,62.6,22.84,19,30,3.09,scattered clouds
105,Rawson,AR,-43.3002,-65.1023,18.61,69,2,5.04,clear sky
106,Yar-Sale,RU,66.8333,70.8333,-1.62,98,100,3.3,light snow
107,Srednekolymsk,RU,67.45,153.6833,-18.62,83,81,1.98,broken clouds
108,Shingu,JP,33.7333,135.9833,18.0,63,75,4.63,broken clouds
109,Lebu,CL,-37.6167,-73.65,12.48,90,20,6.83,few clouds
110,Malangwa,NP,26.8568,85.5581,21.82,10,0,2.86,clear sky
111,Helsinki,FI,60.1695,24.9355,2.22,93,0,5.14,clear sky
112,Zeya,RU,53.75,127.2667,-5.75,69,42,7.09,scattered clouds
113,Kapit,MY,2.0167,112.9333,25.94,87,96,0.22,overcast clouds
114,Esperance,AU,-33.8667,121.9,19.0,77,90,5.14,overcast clouds
115,Hasaki,JP,35.7333,140.8333,19.44,52,40,3.09,scattered clouds
116,Aquiraz,BR,-3.9014,-38.3911,27.78,89,20,3.09,few clouds
117,Airai,TL,-8.9266,125.4092,17.17,94,100,1.22,overcast clouds
118,Ambilobe,MG,-13.2,49.05,22.02,90,62,1.46,broken clouds
119,Nara,JP,34.6851,135.8049,18.33,72,75,1.54,broken clouds
120,Meulaboh,ID,4.1363,96.1285,25.68,79,100,1.34,overcast clouds
121,Watsa,CD,3.0372,29.5355,17.11,97,40,1.44,scattered clouds
122,Palimbang,PH,6.2106,124.1894,29.05,73,99,0.77,overcast clouds
123,Bani,DO,18.2833,-70.3333,26.11,79,0,1.34,clear sky
