City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Tasiilaq,GL,2021-04-02 23:55:16,65.6145,-37.6368,-1.0,86,75,5.14
143,Thompson,CA,2021-04-02 23:55:16,55.7435,-97.8558,9.0,37,20,7.2
144,Kavaratti,IN,2021-04-02 23:55:16,10.5669,72.642,28.01,60,68,5.2
145,Ixtapa,MX,2021-04-02 23:55:17,20.7,-105.2,26.0,69,75,5.14
146,Gizo,SB,2021-04-02 23:55:17,-8.103,156.8419,29.51,67,99,3.07
147,Acapulco,MX,2021-04-02 23:55:17,16.8634,-99.8901,31.0,55,1,4.63
148,Ahipara,NZ,2021-04-02 23:55:17,-35.1667,173.1667,21.72,58,28,3.11
149,Zuwarah,LY,2021-04-02 23:55:18,32.9312,12.082,21.63,31,19,5.89
150,Taos,US,2021-04-02 23:55:18,36.4072,-105.5731,17.22,20,90,4.12
151,Faanui,PF,2021-04-02 23:55:18,-16.4833,-151.75,27.71,69,0,0.46
152,Castro,BR,2021-04-02 23:55:19,-24.7911,-50.0119,13.78,86,3,1.98
153,Mogok,MM,2021-04-02 23:55:19,22.9167,96.5,18.63,40,6,0.77
154,Vaini,TO,2021-04-02 23:55:19,-21.2,-175.2,28.0,83,75,2.57
155,Chokurdakh,RU,2021-04-02 23:55:20,70.6333,147.9167,-22.35,99,99,0.85
156,Worland,US,2021-04-02 23:55:20,44.0169,-107.9554,23.0,8,1,5.14
157,Riyadh,SA,2021-04-02 23:51:06,24.6877,46.7219,26.0,18,0,3.6
158,Khatanga,RU,2021-04-02 23:55:20,71.9667,102.5,-33.38,97,10,2.0
159,Westport,US,2021-04-02 23:53:22,41.1415,-73.3579,2.0,38,90,2.06
160,Znamenka,RU,2021-04-02 23:55:21,52.4167,41.4311,4.9,93,100,1.34
161,Constitucion,CL,2021-04-02 23:55:21,-35.3333,-72.4167,13.58,85,22,5.72
162,Swift Current,CA,2021-04-02 23:55:21,50.2834,-107.8014,14.0,23,1,2.06
163,Andenes,NO,2021-04-02 23:55:22,69.3143,16.1194,1.0,75,100,5.14
164,San Patricio,US,2021-04-02 23:55:22,28.017,-97.5169,19.0,55,75,8.23
165,Aklavik,CA,2021-04-02 23:55:22,68.2191,-135.0107,-18.0,50,100,3.66
166,Fayaoue,NC,2021-04-02 23:55:23,-20.65,166.5333,25.06,90,100,2.88
167,Ustka,PL,2021-04-02 23:55:23,54.5805,16.8619,3.65,83,99,3.16
168,General Roca,AR,2021-04-02 23:55:23,-39.0333,-67.5833,24.0,60,40,2.57
169,Buala,SB,2021-04-02 23:55:23,-8.145,159.5921,30.07,66,66,3.15
170,Arlit,NE,2021-04-02 23:55:24,18.7369,7.3853,22.45,11,2,3.8
171,Bonavista,CA,2021-04-02 23:55:24,48.6499,-53.1147,7.0,81,99,2.57
172,Atar,MR,2021-04-02 23:55:24,20.5169,-13.0499,30.97,7,99,2.74
173,Chuy,UY,2021-04-02 23:55:25,-33.6971,-53.4616,17.35,78,5,3.03
174,Sao Filipe,CV,2021-04-02 23:55:25,14.8961,-24.4956,22.8,71,9,3.7
175,Breytovo,RU,2021-04-02 23:55:25,58.2993,37.8617,-2.99,97,88,1.62
176,Lompoc,US,2021-04-02 23:55:25,34.6391,-120.4579,17.0,59,17,8.23
177,Provideniya,RU,2021-04-02 23:55:26,64.3833,-173.3,-10.9,86,100,5.96
178,Malakal,SS,2021-04-02 23:55:26,9.5334,31.6605,30.1,13,68,3.99
179,Airai,TL,2021-04-02 23:55:26,-8.9266,125.4092,16.54,95,100,1.39
180,Oyama,JP,2021-04-02 23:55:27,36.3,139.8,17.78,67,75,1.54
181,Sevilla,ES,2021-04-02 23:55:27,37.3824,-5.9761,14.0,82,0,2.57
182,Bud,US,2021-04-02 23:55:27,39.447,-86.1758,8.0,27,1,0.47
183,Kodinsk,RU,2021-04-02 23:55:27,58.6881,99.1844,-2.13,95,100,3.81
184,Thinadhoo,MV,2021-04-02 23:55:28,0.5333,72.9333,28.35,76,7,8.1
185,Maraa,BR,2021-04-02 23:55:28,-1.8333,-65.3667,23.56,96,80,0.83
186,Caconda,AO,2021-04-02 23:55:28,-13.7333,15.0667,15.4,96,94,1.35
187,Piribebuy,PY,2021-04-02 23:55:29,-25.4833,-57.05,24.0,60,0,4.12
188,Camacupa,AO,2021-04-02 23:55:29,-12.0167,17.4833,15.63,98,94,1.55
189,Severo-Yeniseyskiy,RU,2021-04-02 23:55:29,60.3725,93.0408,-5.22,93,99,3.61
190,Kudahuvadhoo,MV,2021-04-02 23:55:29,2.6708,72.8944,28.29,74,16,6.67
191,Yarada,IN,2021-04-02 23:55:30,17.65,83.2667,28.0,94,40,2.57
192,Trelaze,FR,2021-04-02 23:55:30,47.45,-0.4667,7.22,70,0,5.66
193,Rafaela,AR,2021-04-02 23:55:31,-31.2503,-61.4867,19.44,68,0,0.45
194,Chirongui,YT,2021-04-02 23:55:31,-12.9319,45.1483,26.0,89,49,0.51
195,Itoman,JP,2021-04-02 23:55:31,26.1247,127.6694,23.0,94,75,3.09
196,Alur,IN,2021-04-02 23:55:31,12.9833,75.9833,17.41,89,98,2.96
197,Ojinaga,MX,2021-04-02 23:55:32,29.5667,-104.4167,29.0,20,1,5.66
198,Lambarene,GA,2021-04-02 23:55:32,-0.7001,10.2406,23.95,95,99,1.41
199,Araouane,ML,2021-04-02 23:55:32,18.9048,-3.5265,27.18,9,3,4.66
200,Jutai,BR,2021-04-02 23:55:33,-5.1833,-68.9,23.25,96,100,0.56
201,Ambovombe,MG,2021-04-02 23:55:20,-25.1667,46.0833,20.56,77,17,2.32
202,Fortuna,US,2021-04-02 23:55:33,40.5982,-124.1573,13.89,82,1,6.17
203,Cidreira,BR,2021-04-02 23:55:33,-30.1811,-50.2056,21.01,78,94,6.11
204,Abensberg,DE,2021-04-02 23:55:34,48.8167,11.85,5.56,81,14,1.03
205,Vilhena,BR,2021-04-02 23:55:34,-12.7406,-60.1458,24.0,88,20,2.57
206,Northam,GB,2021-04-02 23:55:34,51.0333,-4.2167,6.11,79,1,2.24
207,Sinnamary,GF,2021-04-02 23:55:34,5.3833,-52.95,24.56,91,100,3.86
208,Corn Island,NI,2021-04-02 23:55:35,12.1694,-83.0418,26.69,78,100,8.92
209,Biharamulo,TZ,2021-04-02 23:55:35,-2.6319,31.3089,15.48,95,100,1.04
210,Sisimiut,GL,2021-04-02 23:55:35,66.9395,-53.6735,-14.38,83,89,3.44
211,Bethel,US,2021-04-02 23:55:36,41.3712,-73.414,0.0,52,98,3.41
212,Baherden,TM,2021-04-02 23:55:36,38.4362,57.4316,18.25,43,47,0.98
213,Port Blair,IN,2021-04-02 23:55:36,11.6667,92.75,24.94,70,100,0.46
214,Makakilo City,US,2021-04-02 23:55:36,21.3469,-158.0858,28.0,47,20,4.12
215,Sola,VU,2021-04-02 23:55:37,-13.8833,167.55,28.13,75,97,4.68
216,Gladstone,AU,2021-04-02 23:55:37,-23.85,151.25,25.0,61,75,7.72
217,Turukhansk,RU,2021-04-02 23:55:37,65.8167,87.9833,-14.27,87,100,5.06
218,Vandra,EE,2021-04-02 23:55:38,58.6481,25.0361,-2.78,100,47,1.27
219,Calabozo,VE,2021-04-02 23:55:38,8.9242,-67.4293,32.46,34,71,1.39
220,Denpasar,ID,2021-04-02 23:55:38,-8.65,115.2167,27.0,89,20,1.54
221,Arrecife,ES,2021-04-02 23:55:38,28.963,-13.5477,18.0,72,20,4.63
222,Nadezhda,RU,2021-04-02 23:55:39,44.1,44.6,8.54,78,100,4.09
223,Fairbanks,US,2021-04-02 23:55:39,64.8378,-147.7164,-10.0,52,40,0.95
224,Linqiong,CN,2021-04-02 23:55:39,30.4159,103.4609,13.0,100,84,2.0
225,Loralai,PK,2021-04-02 23:55:40,30.3705,68.598,16.41,23,2,3.15
226,Tupik,RU,2021-04-02 23:55:40,54.4253,119.9327,-9.88,66,5,1.5
227,Walvis Bay,NA,2021-04-02 23:55:40,-22.9575,14.5053,18.0,77,42,2.06
228,Naruto,JP,2021-04-02 23:55:40,34.1833,134.6167,17.22,77,75,3.6
229,Lichinga,MZ,2021-04-02 23:55:41,-13.3128,35.2406,17.0,94,20,4.12
230,Yokadouma,CM,2021-04-02 23:55:41,3.5167,15.05,23.07,62,51,0.75
231,Buchanan,LR,2021-04-02 23:55:41,5.8808,-10.0467,27.0,94,20,2.69
232,Sulangan,PH,2021-04-02 23:55:42,11.1373,123.7228,27.59,73,64,5.15
233,Swan Hill,AU,2021-04-02 23:55:42,-35.3378,143.5544,27.24,29,0,3.04
234,Faya,SA,2021-04-02 23:55:42,18.3851,42.4509,18.0,72,0,0.96
235,Souris,CA,2021-04-02 23:55:43,49.6172,-100.2612,17.0,25,1,5.66
236,Atascadero,US,2021-04-02 23:51:45,35.4894,-120.6707,26.0,22,1,5.66
237,Aquin,HT,2021-04-02 23:55:43,18.2833,-73.4,25.09,77,25,1.46
238,Kangaatsiaq,GL,2021-04-02 23:55:43,68.3065,-53.4641,-11.67,62,81,8.22
239,Teahupoo,PF,2021-04-02 23:54:34,-17.8333,-149.2667,32.0,62,40,3.09
240,Rundu,NA,2021-04-02 23:55:44,-17.9333,19.7667,19.22,55,85,2.57
241,Verkhoyansk,RU,2021-04-02 23:55:44,67.5447,133.385,-15.83,90,100,2.58
242,Kruisfontein,ZA,2021-04-02 23:55:45,-34.0033,24.7314,13.33,94,0,0.45
243,Saint-Philippe,RE,2021-04-02 23:55:45,-21.3585,55.7679,25.0,88,75,5.14
244,Price,US,2021-04-02 23:55:45,39.5994,-110.8107,21.0,12,1,2.57
245,Manokwari,ID,2021-04-02 23:52:40,-0.8667,134.0833,26.91,72,100,0.69
246,Hesla,IN,2021-04-02 23:55:46,24.0667,85.8833,22.83,8,0,0.55
247,Huzhou,CN,2021-04-02 23:55:46,30.8703,120.0933,16.11,88,100,0.45
248,Dubbo,AU,2021-04-02 23:55:46,-32.25,148.6167,21.0,64,0,4.63
249,Verkhnyaya Inta,RU,2021-04-02 23:55:46,65.9811,60.3094,-3.54,96,98,4.63
250,Yulara,AU,2021-04-02 23:55:47,-25.2406,130.9889,22.0,37,0,5.14
251,Ilulissat,GL,2021-04-02 23:55:47,69.2167,-51.1,-14.0,66,75,4.12
252,Ntcheu,MW,2021-04-02 23:55:47,-14.8203,34.6359,14.9,90,58,0.82
253,Sobolevo,RU,2021-04-02 23:55:48,54.4299,31.8996,0.34,85,62,2.5
254,Sarajevo,BA,2021-04-02 23:55:48,43.8486,18.3564,9.0,100,20,2.06
255,Anaconda,US,2021-04-02 23:55:48,46.1285,-112.9423,16.0,12,1,5.66
256,Mbamba,NG,2021-04-02 23:55:49,9.9833,13.1,25.22,12,17,2.88
257,Pisco,PE,2021-04-02 23:55:49,-13.7,-76.2167,22.0,73,0,3.6
258,Zhanaozen,KZ,2021-04-02 23:55:49,43.3,52.8,5.88,89,2,4.83
259,Coquimbo,CL,2021-04-02 23:53:16,-29.9533,-71.3436,15.0,82,0,3.09
260,Chihuahua,MX,2021-04-02 23:51:22,28.5,-106.0,31.0,16,75,9.26
261,East London,ZA,2021-04-02 23:55:50,-33.0153,27.9116,16.89,79,66,5.79
262,Humaita,BR,2021-04-02 23:55:50,-7.5061,-63.0208,23.69,95,88,0.78
263,Cururupu,BR,2021-04-02 23:55:50,-1.8283,-44.8683,23.81,95,73,1.33
264,Voi,KE,2021-04-02 23:55:51,-3.3945,38.563,22.41,85,69,3.09
265,Inuvik,CA,2021-04-02 23:55:51,68.3499,-133.7218,-18.0,50,99,1.57
266,Hirado,JP,2021-04-02 23:55:51,33.3597,129.5531,18.0,77,75,0.51
267,Christchurch,NZ,2021-04-02 23:51:04,-43.5333,172.6333,16.67,55,54,7.72
268,Meulaboh,ID,2021-04-02 23:55:52,4.1363,96.1285,25.23,76,100,0.97
269,Jeronimo Monteiro,BR,2021-04-02 23:55:52,-20.7894,-41.395,21.13,96,29,0.68
270,Conceicao Do Araguaia,BR,2021-04-02 23:55:52,-8.2578,-49.2647,23.66,92,74,1.07
271,Fort Nelson,CA,2021-04-02 23:55:53,58.8053,-122.7002,-1.0,34,75,1.52
272,Los Llanos De Aridane,ES,2021-04-02 23:55:53,28.6585,-17.9182,19.0,77,75,5.66
273,Saint-Pierre,RE,2021-04-02 23:55:53,-21.3393,55.4781,25.0,88,75,5.14
274,Amapa,BR,2021-04-02 23:55:54,1.0,-52.0,21.42,99,99,0.97
275,Joao Pinheiro,BR,2021-04-02 23:54:29,-17.7425,-46.1725,22.54,65,42,2.23
276,Volgodonsk,RU,2021-04-02 23:55:43,47.5136,42.1514,7.36,82,47,5.38
277,Clifton Springs,AU,2021-04-02 23:55:54,-38.15,144.5667,28.0,39,0,8.23
278,Namibe,AO,2021-04-02 23:55:54,-15.1961,12.1522,25.35,77,49,2.4
279,Fontem,CM,2021-04-02 23:55:55,5.4685,9.8818,21.39,56,65,1.14
280,Cheyenne,US,2021-04-02 23:51:33,41.14,-104.8203,19.0,7,1,5.66
281,Desna,UA,2021-04-02 23:55:55,50.9273,30.7605,3.89,80,23,2.0
282,Seymchan,RU,2021-04-02 23:55:55,62.8833,152.4333,-19.25,80,62,0.4
283,Tabuk,PH,2021-04-02 23:55:56,17.4189,121.4443,25.47,66,4,1.85
284,Corinth,GR,2021-04-02 23:55:22,37.9407,22.9573,11.11,58,92,0.89
